"a","b","c","d","e","f","g","h"
"20185088","20185343","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20185344","20185599","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20185600","20185855","VN","Viet Nam","Da Nang","Da Nang","16.06778","108.22083"
"20185856","20186367","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20186368","20186879","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20186880","20187135","VN","Viet Nam","Can Tho","Can Tho","10.03333","105.78333"
"20187136","20187391","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20187392","20187647","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20187648","20187903","VN","Viet Nam","Binh Dinh","Qui Nhon","13.76667","109.23333"
"20187904","20188159","VN","Viet Nam","Ninh Thuan","Phan Rang-Thap Cham","11.56667","108.98333"
"20188160","20188415","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20188416","20188671","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20188672","20189183","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20189184","20189439","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20189440","20189695","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20189696","20190207","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20190208","20190463","VN","Viet Nam","Bac Ninh","Bac Ninh","21.18333","106.05"
"20190464","20190975","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20190976","20191231","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20191232","20191487","VN","Viet Nam","Yen Bai","Yen Bai","21.7","104.86667"
"20191488","20191743","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20191744","20191999","VN","Viet Nam","Ba Ria - Vung Tau","Lien Loc","10.7449","107.243"
"20192000","20192255","VN","Viet Nam","Da Nang","Da Nang","16.06778","108.22083"
"20192256","20192511","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20192512","20192767","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20192768","20193023","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20193024","20193279","VN","Viet Nam","Phu Yen","Tuy Hoa","13.08333","109.3"
"20193280","20193535","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20193536","20194047","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20194048","20194303","VN","Viet Nam","Tra Vinh","Tra Vinh","9.93472","106.34528"
"20194304","20194815","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20194816","20195071","VN","Viet Nam","Binh Duong","Thu Dau Mot","10.96667","106.65"
"20195072","20195583","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20195584","20195839","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20195840","20196095","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20196096","20196351","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20196352","20196607","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20196608","20197375","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20197376","20197631","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20197632","20197887","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20197888","20198399","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20198400","20198655","VN","Viet Nam","Dong Nai","Vung Tau","10.34599","107.08426"
"20198656","20198911","VN","Viet Nam","Ba Ria - Vung Tau","Xuyen Moc","10.5667","107.417"
"20198912","20199167","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20199168","20199423","VN","Viet Nam","Khanh Hoa","Nha Trang","12.25","109.18333"
"20199424","20199679","VN","Viet Nam","Binh Duong","Thu Dau Mot","10.96667","106.65"
"20199680","20199935","VN","Viet Nam","Ba Ria - Vung Tau","Xuyen Moc","10.5667","107.417"
"20199936","20200447","VN","Viet Nam","Khanh Hoa","Nha Trang","12.25","109.18333"
"20200448","20200703","VN","Viet Nam","Binh Thuan","Phan Thiet","10.93333","108.1"
"20200704","20200959","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20200960","20201215","VN","Viet Nam","Tra Vinh","Tra Vinh","9.93472","106.34528"
"20201216","20201471","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20201472","20201727","VN","Viet Nam","Dong Thap","Cao Lanh","10.45","105.63333"
"20201728","20201983","VN","Viet Nam","Long An","Tan An","10.53333","106.41667"
"20201984","20202239","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20202240","20202495","VN","Viet Nam","Phu Yen","Tuy Hoa","13.08333","109.3"
"20202496","20202751","VN","Viet Nam","Long An","Tan An","10.53333","106.41667"
"20202752","20203007","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20203008","20203263","VN","Viet Nam","Phu Yen","Tuy Hoa","13.08333","109.3"
"20203264","20203519","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20203520","20203775","VN","Viet Nam","Hai Duong","Hai Duong","20.93333","106.31667"
"20203776","20204031","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20204032","20204287","VN","Viet Nam","Can Tho","Can Tho","10.03333","105.78333"
"20204288","20204543","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20204544","20205055","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20205056","20205311","VN","Viet Nam","Quang Ngai","Quang Ngai","15.11667","108.8"
"20205312","20205567","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20205568","20205823","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20205824","20206079","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20206080","20206335","VN","Viet Nam","Khanh Hoa","Nha Trang","12.25","109.18333"
"20206336","20206591","VN","Viet Nam","Binh Phuoc","Dong Xoai","11.53333","106.91667"
"20206592","20206847","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20206848","20207103","VN","Viet Nam","Dong Nai","Bien Hoa","10.95","106.81667"
"20207104","20207359","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20207360","20207615","VN","Viet Nam","Bac Ninh","Bac Ninh","21.18333","106.05"
"20207616","20208383","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20208384","20208639","VN","Viet Nam","Kien Giang","Rach Gia","10.01667","105.08333"
